,TIPO,variable_1,variable_2,variable_3,variable_4,variable_5
0,Problem,-0.12365298718214035,0.03591974079608917,-0.2984378933906555,1.7831904888153076,-0.4000460207462311
1,Effect,0.19192413985729218,-0.3380115032196045,-0.1960831582546234,2.1450371742248535,-0.2926977872848511
2,Effect,-0.22129996120929718,-0.24392631649971008,-0.635989785194397,1.7817292213439941,-0.21241715550422668
3,Effect,-0.1872205138206482,-0.24502596259117126,-0.21713855862617493,1.4936392307281494,-0.3816438317298889
4,Effect,0.1381128877401352,-0.3281239867210388,-0.49047359824180603,2.3973329067230225,-0.5362118482589722
5,Cause,-0.21117208898067474,-0.50014728307724,-0.6999567747116089,1.7895694971084595,-0.22666622698307037
6,Cause,-0.17986783385276794,0.2366553544998169,-0.1357971727848053,1.856198787689209,-0.35430365800857544
7,Problem,0.05541631206870079,-0.18647241592407227,-0.6908110976219177,1.6227495670318604,-0.425028532743454
8,Effect,-1.064422607421875,-0.9124290943145752,-1.2876116037368774,2.080281972885132,-0.47258245944976807
9,Effect,0.0552765354514122,-0.8988731503486633,-0.761583685874939,1.773923635482788,-0.4238980710506439
10,Effect,0.3970324993133545,-0.9268757104873657,-0.6291826963424683,2.0620968341827393,-0.45282208919525146
11,Effect,-0.6025622487068176,-0.46662503480911255,-0.22316212952136993,1.7711222171783447,-0.49887290596961975
12,Cause,0.024168293923139572,-0.04946647956967354,-0.6523283123970032,1.9339845180511475,-0.6212165355682373
13,Cause,0.004565450828522444,-0.12546974420547485,-0.4734134078025818,1.7698113918304443,-0.40878039598464966
14,Cause,0.03576526790857315,0.4270121157169342,-0.6396399736404419,1.947472095489502,-0.3092332184314728
15,Cause,-0.7251295447349548,-0.4438839852809906,-1.2829902172088623,2.180647611618042,-0.014839301817119122
16,Problem,-0.1588079035282135,-0.3349427878856659,-0.46981725096702576,1.7533966302871704,-0.40600427985191345
17,Effect,-1.064422607421875,-0.9124290943145752,-1.2876116037368774,2.080281972885132,-0.47258245944976807
18,Effect,-0.3407863974571228,-0.33998268842697144,-0.1778852492570877,2.3527305126190186,-0.664369523525238
19,Effect,0.6709983348846436,-0.9540672302246094,-0.8098265528678894,1.9614022970199585,-0.8144916296005249
20,Effect,-0.6025622487068176,-0.46662503480911255,-0.22316212952136993,1.7711222171783447,-0.49887290596961975
21,Cause,-0.35476770997047424,-0.38124802708625793,-0.9477558732032776,1.8912609815597534,-0.10763613134622574
22,Cause,0.03576526790857315,0.4270121157169342,-0.6396399736404419,1.947472095489502,-0.3092332184314728
23,Cause,0.03711700439453125,-0.12045466899871826,-0.5541846752166748,1.8230113983154297,-0.39945313334465027
24,Cause,-0.09178828448057175,-0.06879236549139023,-0.4340924322605133,1.521225929260254,-0.22061318159103394
25,Problem,-0.406970351934433,-0.8348901867866516,-0.5333223342895508,1.627057671546936,-0.6536157727241516
26,Effect,-0.5858895778656006,-1.2525534629821777,-0.31796368956565857,1.8760817050933838,-0.873007595539093
27,Effect,-0.3350873589515686,-0.22903545200824738,-0.28580835461616516,1.7362873554229736,-0.4615147113800049
28,Cause,-0.15956047177314758,-0.6946573853492737,-0.4289309084415436,1.568650245666504,-0.49466225504875183
29,Cause,0.57370525598526,0.5787685513496399,-0.35893377661705017,2.3026840686798096,-0.45670995116233826
30,Problem,-0.12230593711137772,-0.4796154201030731,-0.5078545212745667,1.888632893562317,-0.36804434657096863
